id;nom;code;type;devise;solde;actif;entite_financiere_id
1;quand instituer cocorico;filer sur;sombre baisser;miam réduire afin que;4791.63;true;1
2;vers étant donné que;membre titulaire;adversaire commis;ouf au-dehors snif;30802.79;false;2
3;pis actionnaire dès;plic juriste bè;assez assez;svelte;14542.49;false;3
4;débattre carrément bien que;orange gigantesque avancer;pauvre;de peur de vlan;18628.57;true;4
5;porter ouin joliment;splendide;par suite de clientèle comme;hormis;549.68;false;5
6;snif comme paf;sans;bien que;en decà de;9541.53;true;6
7;loufoque;devant désigner;diététiste antagoniste;ouah pacifique révéler;15186.24;false;7
8;moins camarade ranger;tant;déclarer joliment;de sorte que aligner tchou tchouu;24717.01;true;8
9;population du Québec chef;âcre triangulaire;perplexe bzzz splendide;efficace insolite;17703.44;true;9
10;décider brave commenter;camarade;de crainte que;clientèle de façon à ce que;102.7;false;10
