id;nom;code;type_categorie;description;actif;entite_financiere_id
1;boum personnel;énergique;fonctionnaire;de manière à ce que crac;false;1
2;quoique;au-dessus pendant que dès;toc;bien que gens;true;2
3;debout candide hors de;secours quelquefois par;chez toc;de façon à ce que pacifique meuh;true;3
4;entièrement de manière à;extra crac;de crainte que;boum;false;4
5;chut;ramener;de crainte que satisfaire;pas mal glouglou;true;5
6;géométrique ouin;vroum pendant que antique;si malade vlan;bien que exclure;false;6
7;de façon à ce que souple même si;à côté de loufoque;maigre de peur que;brusque derechef;false;7
8;bè de crainte que avant;sombre;tellement souvent chef de cuisine;depuis redouter de façon à ce que;true;8
9;main-d’œuvre;cerner augmenter chef de cuisine;conseil municipal plouf;en plus de;true;9
10;athlète habile;vivace police devant;blême;en face de si moderne;false;10
