id;code;date_depense;montant;motif;reference_piece;statut;valider_par;date_validation;entite_financiere_id;caisse_id;categorie_id
1;cuicui lectorat sous couleur de;2026-02-25;20968.83;smack;trop drôlement après que;oh;répéter;2026-02-26T06:13:32;1;1;1
2;avant-hier coac coac;2026-02-25;11186.55;assez à la merci;malade;direction dans la mesure où délégation;rectorat délectable meuh;2026-02-26T07:11:12;2;2;2
3;concurrence meuh;2026-02-25;23216.62;novice;franco;généraliser à l'égard de ferme;trop pschitt;2026-02-26T00:10:02;3;3;3
4;hirsute de manière à ce que;2026-02-26;3240.03;de peur de;assez depuis;lire hier;athlète vraisemblablement alors que;2026-02-25T16:02:25;4;4;4
5;mature gigantesque circulaire;2026-02-25;6068.29;cocorico vaste;présidence sous couleur de;ouch avant tant;accroître diététiste perplexe;2026-02-25T19:48:48;5;5;5
6;mature au prix de;2026-02-25;10109.61;travailler tic-tac;raser entre-temps;substituer;rater personnel professionnel chef;2026-02-25T19:29:36;6;6;6
7;euh;2026-02-25;3429.89;à l'insu de fidèle;fonctionnaire au-dessus de parce que;communiquer placide;conseil d’administration;2026-02-25T19:31:48;7;7;7
8;succéder ronron sur;2026-02-25;5240.24;trop peu timide;paf toc;vorace dans la mesure où;smack;2026-02-25T11:09:40;8;8;8
9;cyan relever;2026-02-26;1898.47;bien que émouvoir;toc-toc plier;avare membre de l’équipe;paf;2026-02-26T06:21:59;9;9;9
10;pschitt;2026-02-25;9737.37;recommander convaincre;avex profiter tant;outre;oh dès que foule;2026-02-26T06:16:14;10;10;10
