id;nom;code;description
1;pour que euh commis de cuisine;hors de sous couleur de gens;meuh
2;divinement;sympathique à peu près;de peur que quelque précisément
3;mieux;dans la mesure où quitte à;nager ainsi hystérique
4;groin groin administration en;miam boulanger;entre-temps plutôt conseil municipal
5;lunatique cocorico;prestataire de services après;lectorat effrayer moyennant
6;demander;turquoise secouriste;hors de commis à la merci
7;menacer antique;étant donné que serviable;puis
8;direction outre désagréable;incalculable;que
9;moyennant magenta;calme zzzz;parce que tard
10;réciter toc;au-dedans de attarder;sans
