id;date_comptable;numero_piece;libelle;reference_externe
1;2026-02-25;voir;rectorat de par;si bien que afin que brave
2;2026-02-25;quant à;diététiste à demi;adversaire guide demain
3;2026-02-25;adepte bien pauvre;près membre de l’équipe;dans la mesure où ouah
4;2026-02-26;ralentir lâche à la merci;du côté de tic-tac;adversaire impromptu
5;2026-02-26;naguère accentuer comme;du côté de alors que;d'entre
6;2026-02-25;efficace téméraire;ah insolite snif;drelin communauté étudiante
7;2026-02-25;où à seule fin de;immense énergique;hirsute minuscule
8;2026-02-25;au point que;selon;dehors même si
9;2026-02-25;si;gigantesque au lieu de;bè
10;2026-02-26;au-dessous comme oups;tremper du fait que;police depuis
