id;nom;code;type;description;actif
1;ouah;marron blablabla jusqu’à ce que;habiller tchou tchouu ouch;d'abord;true
2;au-dehors;à partir de;bè au-dedans de de manière à;brusque toujours;false
3;mairie;grrr;représenter méditer;régner fendre meuh;true
4;depuis jusqu’à ce que conseil d’administration;vivace douter toujours;relever tranquille oups;bien que;false
5;super;ailleurs;ainsi coac coac;marron trop;false
6;coupable au défaut de intrépide;bzzz emmerder;géométrique bang d'entre;groin groin proche de;false
7;tâcher autour;tout à fait présidence;secours prestataire de services y;fourbe assez subito;true
8;abattre là bien que;abandonner;hirsute;là;false
9;toutefois du fait que;nourrir à l'insu de;espiègle délectable;au-dehors;false
10;apparemment;repentir;durant;glouglou;false
