id;montant;sens;libelle;ecriture_id;compte_id
1;1498.25;si;déployer ouin diététiste;1;1
2;22837.1;pour;a dès que charitable;2;2
3;9040.68;cot cot grrr rencontrer;grimper mature;3;3
4;20867.04;cocorico tirer;tant;4;4
5;736.07;vivace chut coupable;accuser;5;5
6;17718.16;crac devant étudier;reparaître jeune enfant quelquefois;6;6
7;27964.26;assez derechef;lorsque;7;7
8;4591.45;de par dès;attacher;8;8
9;18696.38;gratis aïe tâcher;de façon que;9;9
10;5224;membre de l’équipe conseil municipal;moyennant coac coac;10;10
