id;nom;code;description
1;main-d’œuvre;dès que;là-haut antagoniste de par
2;souple battre proche de;maigre ramener;de peur que cependant certainement
3;alentour;équipe de recherche atchoum;antagoniste rejoindre
4;autant mince;chef de cuisine ouille par;précipiter gigantesque
5;vlan;accepter;à l'encontre de déjà
6;psitt;tsoin-tsoin racheter touriste;tsoin-tsoin calme
7;totalement autour de;vroum;membre du personnel
8;entre;débile;sus tic-tac
9;concurrence hi délectable;si;efficace espiègle équipe
10;triathlète aux alentours de snif;puis derechef hors de;de manière à amuser doucement
